,Course tittle,Credit hours
0,General Education Core,General Education Core
1,Entrepreneurship,02
2,Civic and Community Engagement,02
3,"Applications of Information, Communication and Technology",03
4,Islamic Scholarly Tradition/Philosophy Logic and Ethics (Islamic  Studies/Ethics),02
5,Pakistan History (Ideology and Constitution of Pakistan),02
6,Critical Reading and Writing (Expository English),03
7,Speech Communication (Functional English),03
8,Introduction to Statistics (Quantitative Reasoning),03
9,Statistical Inference (Quantitative Reasoning),03
10,Fundamentals of Sociology (Social Sciences),03
11,South Asian History (Arts and Humanities),03
12,General Education Elective,General Education Elective
13,Natural Sciences - Select from the pool of Natural Science  courses,03
