,Media and Culture,Course  code,Credit hours,Pre- requisite
0,Visualization & Storytelling,MCS385,3,-
1,Introduction to Photojournalism,MCS386,3,-
2,Watching Films,MCS359,3,-
3,Analyzing the News,MCS355,3,-
4,Democracy and Digital Activism,MCS366,3,-
5,Political Communication,MCS372,3,-
6,"Museum, Heritage, and Visual Culture",MCS 385,3,-
7,"Lights, Camera, History! Representations of  Medieval South Asia in Bollywood",MCS 350,3,-
8,Environmental Journalism,MCS452,3,-
9,The Making of the Suspense Thriller: Hitchcock's  Obsessions & Cinematic Craft,MCS-388,3,-
10,Feminist Technology and Media,MCS 380,3,-
11,"Media, Law and Ethics",MCS352,3,-
12,New Media and Citizen Journalism,MCS 383,3,-
13,Documentary Craft and Practice,SSC-350,3,-
14,Journalism and Society,MCS-387,3,-
15,Introduction to Citizen Journalism,MCS 383,3,-
16,Visual Methods in Urban Research,HUM-484,3,-
17,Social Media Marketing,MKT468,3,-
