,Course category,Course title,Course code,Credit hours
0,Physical  Resources,Conflict Studies,DEV551,3
1,Physical  Resources,"Agrarian Development, Food Policy & Rural Poverty",DEV552,3
2,Physical  Resources,"Environment, Climate Change and Sustainability",DEV553,3
3,Physical  Resources,Cities & Urban Development,DEV554,3
4,Physical  Resources,Data Science and Development,DEV555,3
5,Physical  Resources,Entrepreneurship in Development,DEV556,3
6,Human  Resources,Gender Studies,DEV561,3
7,Human  Resources,Migration and Mobility,DEV562,3
8,Human  Resources,Poverty and Inequality,DEV563,3
9,Human  Resources,Population Studies,DEV564,3
10,Human  Resources,Health & Development,DEV565,3
11,Human  Resources,Labor and Social Movements,DEV566,3
12,Human  Resources,Political Ecology,DEV567,3
13,Human  Resources,Leadership in Development,DEV568,3
14,Society &  Economy,Public Financial Management,DEV571,3
15,Society &  Economy,Aid & Development,DEV572,3
16,Society &  Economy,"Technology, Culture and Development",DEV573,3
17,,Communication and Social Change,DEV574,3
18,,Decolonizing Methods,DEV575,3
19,,Nature of Inquiry and Survey Design,DEV576,3
