,S. No.,Courses,Credit hours,Course code
0,Fall semester,Fall semester,Fall semester,Fall semester
1,1,Advanced Microeconomics,3,ECO631
2,2,Advanced Macroeconomics,3,ECO632
3,3,Econometrics I,3,ECO537
4,4,Elective I,3,-
5,Spring semester,Spring semester,Spring semester,Spring semester
6,5,Econometrics II,3,ECO538
7,6,Research Methodology,3,ECO591
8,7,Development Economics,3,ECO534
9,8,Elective II,3,-
10,Fall/Spring semester,Fall/Spring semester,Fall/Spring semester,Fall/Spring semester
11,9,MS Thesis*,6,-
