,Course title,Course code,hours Credit,Pre- requisite
0,Financial Economics,ECO562,3,-  531 ECO
1,International Trade,ECO539,3,ECO531
2,Issues in Pakistan's Economy,ECO544,3,ECO532
3,Climate Change Economics,ECO551,3,ECO531
4,Behavioural Economics,ECO554,3,ECO531
5,Economic Forecasting,ECO555,3,MTS536
6,Public Policy Analysis: Theory and  Practice,ECO560,3,ECO531/ECO501
7,Environmental and Resource  Economics,ECO561,3,ECO531
8,Combinatorial Optimization,CSE654,3,
9,Health Economics,ECO563,3,ECO531
10,History of Economic Thought,ECO564,3,ECO532
11,Monetary Economics,ECO566,3,ECO532
12,Public Economics,ECO567,3,ECO531
13,Time Series Modelling,ECO570,3,MTS5366
14,Industrial Economics,ECO571,3,ECO531
15,Game Theory   and   Competitive Strategy,ECO573,3,ECO531/ECO501
16,Water Economics and Policy,ECO574,3,ECO531/ECO501
17,Microeconomics of Public Policy  Analysis,ECO575,3,ECO531/ECO501
18,Social Impact Evaluation,ECO577,3,ECO531/ECO501
19,Behavioural and Experimental  Economics,ECO578,3,ECO531
20,Labour Economics,ECO654,3,ECO531
