,Course code,Course title,Credit hours
0,CSE101,Introduction to Computing,3
1,CSE141,Introduction to Programming,4
2,CSE142,Object Oriented Programming Techniques,4
3,CSE341,Database Systems,4
4,CSE241,Digital Logic Design,4
5,CSE247,Data Structures,4
6,CSE468,Information Security and Ethics,3
7,CSE307,Introduction to Artificial Intelligence,3
8,CSE248,Computer Communication & Networking,4
9,CSE312,Software Engineering,3
10,CSE345,Computer Architecture & Assembly  Language,4
11,CSE331,Operating Systems,3
12,CSE317,Design & Analysis of Algorithm,3
13,CSE309,Theory of Automata,3
14,CSE407,Human Computer Interaction,3
15,CSE467,Parallel and Distributed Computing,4
