,Tracks,Course code,Course title
0,1,CSE575,Advance Human Comp Interaction
1,2,MIS565,Advanced E-Commerce
2,3,CSE570,Digital Business Transformation
3,4,MIS503,Enterprise Integration
4,5,MIS513,Information Industry Structure and Competitive Strategy
5,6,CSE665,Information Retrieval and Web Search - I
6,7,CSE666,Information Retrieval and Web Search - II
7,8,CSE658,Knowledge Management and e-learning Systems
8,9,MIS550,Logistics and Supply Chain Management
9,10,MIS553,Mobile Marketing Strategies
10,11,MIS502,Operations and Technology Management
11,12,CSE567,Requirements Engineering
12,13,CSE640,Research Methodology
13,14,MIS601,Research Methods in IS
14,15,CSE503,Software Project Management
15,16,CSE566,Software Quality Assurance
16,17,CSE564,Software Systems Engineering
17,18,CSE576,Usability Engineering
