,0,1
0,Programs on Offer,51
1,BS (Economics),54
2,BS (Economics and Mathematics),59
3,BS (Social Sciences and Liberal Arts),64
4,MS (Development Studies),75
5,MS (Economics),77
6,MS (Journalism),79
7,PhD (Economics),
8,School of Mathematics & Computer Science (SMCS),82
9,Programs on Offer,83
10,BS (Computer Science),86
11,BS (Mathematics),92
12,MS (Computer Science),95
13,MS (Data Science),97
14,MS (Mathematics),99
15,PhD (Computer Science),101
16,PhD (Mathematics),102
17,Student enrollment statistics,104
18,Calendar of Holidays,
19,Excerpts of the academic calendar 2024-25,106
