,SPRING SEMESTER 2025,SPRING SEMESTER 2025
0,Orientation,"January 19, 2025 (Sunday)"
1,Classes start,"January 20, 2025 (Monday)"
2,Midterm exams,"March 17 to 22, 2025 (Monday - Saturday)"
3,Mid-semester break,"March 24 to 29, 2025  (Monday - Saturday)"
4,Faculty evaluation,"April 28 to May 10, 2025"
5,Classes end,"May 19, 2025 (Monday)"
6,Teaching days,85
7,Reserve days(+),"May 20, 2025 (Tuesday)"
8,Final exams,"May 21 to June 3, 2025 (Wednesday - Tuesday)"
9,Results of Final Examinations,"June 18, 2025 (Wednesday)"
