,Course Title,Course code,Credit hours,Pre- requisite
0,Islamic Insurance (Takaful),FIN512,3,-
1,Investment Banking and Structuring Financial,FIN550,3,-
2,International Finance,FIN551,3,FIN510
3,Islamic Law of Contracts,FIN572,3,-
4,Islamic Treasury Operations,FIN651,3,-
5,Islamic Partnership Corporate and Securities Law,-,3,-
6,Islamic Wealth Planning and Management,FIN579,3,-
7,Islamic Portfolio Management,-,3,-
8,Financial Services Marketing,MKT575,3,-
9,Shariah Issues in Islamic Finance,FIN555,3,-
10,Commercial Law and Legal Documentation for Islamic Financial,FIN654,3,-
11,Islamic Entrepreneurship,FIN652,3,-
12,Advanced Econometrics,FIN581,3,FIN514
13,Ethics and Corporate Governance,BUS554,3,-
14,Risk Management for IFIs,FIN578,3,-
