,Course title,Course code,Credit hours,Pre-requisite
0,Business Analytics,BUS501,3,-
1,Innovation and Design,MGT605,3,-
2,Modeling and Simulation,MGT574,3,-
3,Supply and Demand Management,MGT528,3,-
4,Organization Theory,MGT603,3,MGT511
5,Research Seminar in International Management,MGT604,3,-
6,Research in Organizational Behavior,MGT572,3,-
7,Pedagogy for Management,MGT576,3,-
8,Alternative Management and Organization,MGT573,3,-
9,Project Management,MGT555,3,-
10,Business Consulting Lab,MGT 544,3,-
11,Digital Transformation for Business State and  Society,MGT 563,3,-
12,Process Mining,MGT 543,3,-
