,S.  No.,Course title,Course  c ode,Credit hours,Pre-requisite
0,1,Principles of Microeconomics,ECO103,3,-
1,2,Principles of Macroeconomics,ECO104,3,-
2,3,Intermediate Microeconomics,ECO201,3,ECO103
3,4,Intermediate Macroeconomics,ECO202,3,ECO104
4,5,Microeconomic Theory,ECO312,3,ECO201
5,6,Macroeconomic Theory,ECO313,3,ECO202
6,7,Applied Econometrics I,ECO343,4,MTS202
7,8,Applied Econometrics II,ECO344,4,ECO343
8,9,Research Methods in Economics,ECO411,3,ECO343
9,10,International Trade,ECO466,3,ECO103
10,11,Mathematical Economics,ECO303,3,MTS101
11,12,Data Analytics for Economists,ECO304,3,"MTS111,  MTS202"
12,13,Essential Software,MTS111,3,-
13,14,Major Issues in Pakistan Economy,ECO403,3,ECO203
14,15,Development Economics,ECO301,3,ECO104
15,16,History of Economic Thought,ECO467,3,ECO104
16,17,Impact Evaluation Methods,ECO443,4,ECO343
