,,Course title,Course code,hours Credit,Pre- requisite
0,1,Entrepreneurship,BUS103,2,-
1,2,Civic and Community Engagement,SSC215,2,-
2,3,Introduction to Computer Applications,MIS103,3,-
3,4,Islamic Scholarly Tradition/Philosophy Logic and Ethics*,SSC313/HUMXXX,2,-
4,5,Pakistan History,SSC153,2,-
5,6,Critical Reading and Speech Communication,SSC108,3,-
6,7,C i i Introduction to Academic Writing,SSC236,3,-
7,8,Introduction to Statistics,MTS102,3,-
8,9,Statistical Inference,MTS202,3,MTS102
9,10,Introduction to Philosophy,HUM102,2,-
10,11,"Physics/Mechanics/Electricity,  Magnetism and Waves**",SCI201/PHYXXX/PHY102,3,-
11,12,Introduction to  Psychology/Anthropology/Sociology  **,SSC218/SSCXXX/SSCXXX,3,-
